first_name,last_name,party,vote
รังสิมา,รอดรัศมี,ประชาธิปัตย์,0
รัฐกิตติ์,ผาลีพัฒน์,เพื่อไทย,0
รุ่งโรจน์,ทองศรี,ภูมิใจไทย,0
เรวัต,วิศรุตเวช,เสรีรวมไทย,1
ละออง,ติยะไพรัช,เพื่อไทย,0
ลินดา,เชิดชัย,เพื่อชาติ,0
เลิศศักดิ์,พัฒนชัยกุล,เพื่อไทย,0
วชิราภรณ์,กาญจนะ,ประชาธิปัตย์,0
วทันยา,วงษ์โอภาสี,พลังประชารัฐ,0
วรภพ,วิริยะโรจน์,อนาคตใหม่,1
วรรณวรี,ตะล่อมสิน,อนาคตใหม่,1
วรรณวิภา,ไม้สน,อนาคตใหม่,1
วรศิษฎ์,เลียงประสิทธิ์,ภูมิใจไทย,0
วรสิทธิ์,กัลป์ตินันท์,เพื่อไทย,1
วราวุธ,ศิลปอาชา,ชาติไทยพัฒนา,0
วัชรพล,โตมรศักดิ์,ชาติพัฒนา,0
วัชระ,ยาวอหะซัน,พลังประชารัฐ,0
วัชรา,ณ วังขนาย,เสรีรวมไทย,1
วัฒนา,ช่างเหลา,พลังประชารัฐ,0
วัน,อยู่บำรุง,เพื่อไทย,0
วันชัย,เจริญนนทสิทธิ์,เพื่อไทย,0
วันชัย,ปริญญาศิริ,พลังประชารัฐ,0
วันนิวัติ,สมบูรณ์,เพื่อไทย,-1
วันเพ็ญ,พร้อมพัฒน์,พลังประชารัฐ,0
วันมูหะมัดนอร์,มะทา,ประชาชาติ,2
วาโย,อัศวรุ่งเรือง,อนาคตใหม่,1
วิเชียร,ชวลิต,พลังประชารัฐ,0
วิทยา,ทรงคำ,เพื่อไทย,0
วินท์,สุธีรชัย,อนาคตใหม่,1
วิรัช,พันธุมะผล,อนาคตใหม่,1
วิรัช,รัตนเศรษฐ,พลังประชารัฐ,0
วิรัตน์,วรศสิริน,เสรีรวมไทย,0
วิโรจน์,ลัขณาอดิศร,อนาคตใหม่,1
วิวรรธน์,นิลวัชรมณี,ประชาธิปัตย์,0
วิวัฒน์ชัย,โหตระไวศยะ,เพื่อไทย,0
วิศณุ,ม่วงแพรสี,เสรีรวมไทย,1
วิสาร,เตชะธีราวัฒน์,เพื่อไทย,0
วิสิทธิ์,พิทยาภรณ์,ภูมิใจไทย,0
วิสิษฐ์,เตชะธีราวัฒน์,เพื่อไทย,0
วิสุทธิ์,ไชยณรุณ,เพื่อไทย,0
มารุต,มัสยวาณิช,ภูมิใจไทย,0
วีระกร,คำประกอบ,พลังประชารัฐ,0
วีระชัย,วีระเมธีกุล,ประชาธิปัตย์,0
วีระพล,จิตสัมฤทธิ์,เพื่อไทย,0
วีระวัฒน์,โอสถานุเคราะห์,เพื่อไทย,0
วุฒิชัย,กิตติธเนศวร,เพื่อไทย,0
วุฒินันท์,บุญชู,อนาคตใหม่,1
วุฒิพงษ์,นามบุตร,ประชาธิปัตย์,0
ไวพจน์,อาภรณ์รัตน์,พลังประชารัฐ,0
ศรัณย์,ทิมสุวรรณ,เพื่อไทย,0
ศรัณย์วุฒิ,ศรัณย์เกตุ,เพื่อไทย,-1
ศราวุธ,เพชรพนมพร,เพื่อไทย,0
ศรีนวล,บุญลือ,อนาคตใหม่,1
